"","Date","Text","bing_score","nrc_score","afin_score"
"6576","2019-02-21","we are here to honor the extraordinary contributions of african americans to every aspect of american life history and culture from the earliest days of this nation african american leaders pioneers amp visionaries have uplifted amp inspired our country  t co vuflkfd j",1,1,1
"6578","2019-02-21"," something that is so obviously the future i want the united states to win through competition not by blocking out currently more advanced technologies we must always be the leader in everything we do especially when it comes to the very exciting world of technology ",1,1,1
"6580","2019-02-22","fake news is so bad for our country  t co zwa e urer",-1,-1,-1
"6581","2019-02-22","i am pleased to announce that kelly knight craft our current ambassador to canada is being nominated to be united states ambassador to the united nations ",1,1,1
"6582","2019-02-22","rt flotus wonderful evening at whitehouse celebrating africanamericanhistorymonth  t co zbjop kxty",1,1,1
"6584","2019-02-22","rt secretarysonny breaking in oval office meeting today the chinese committed to buy an additional million metric tons of u s soybe ",-1,1,1
"6585","2019-02-22"," kelly has done an outstanding job representing our nation and i have no doubt that under her leadership our country will be represented at the highest level congratulations to kelly and her entire family ",1,1,1
"6586","2019-02-23","great new book the case for trump by victor davis hanson hoover senior fellow ",1,1,1
"6588","2019-02-23","god bless the people of venezuela ",1,1,1
"6593","2019-02-24","i am pleased to report that the u s has made substantial progress in our trade talks with china on important structural issues including intellectual property protection technology transfer agriculture services currency and many other issues as a result of these very ",1,1,1
"6594","2019-02-24","so funny to watch people who have failed for years they got nothing telling me how to negotiate with north korea but thanks anyway ",-1,1,1
"6596","2019-02-24","the only collusion with the russians was with crooked hillary clinton and the democratic national committee and where s the server that the dnc refused to give to the fbi where are the new texts between agent lisa page and her agent lover peter s we want them now ",-1,-1,-1
"6602","2019-02-24","rt cortessteve was wonderful to meet so many inspiring young patriots last night when i spoke to the tpusa latino conference char ",1,1,1
"6604","2019-02-24","chairman kim realizes perhaps better than anyone else that without nuclear weapons his country could fast become one of the great economic powers anywhere in the world because of its location and people and him it has more potential for rapid growth than any other nation ",1,1,1
"6606","2019-02-24","very productive talks yesterday with china on trade will continue today i will be leaving for hanoi vietnam early tomorrow for a summit with kim jong un of north korea where we both expect a continuation of the progress made at first summit in singapore denuclearization ",1,1,1
"6607","2019-02-24","hold the date we will be having one of the biggest gatherings in the history of washington d c on july th it will be called a salute to america and will be held at the lincoln memorial major fireworks display entertainment and an address by your favorite president me ",1,1,1
"6608","2019-02-24","president xi of china has been very helpful in his support of my meeting with kim jong un the last thing china wants are large scale nuclear weapons right next door sanctions placed on the border by china and russia have been very helpful great relationship with chairman kim ",1,1,1
"6609","2019-02-24","rt gopchairwoman thank you ronaldweiser for serving the migop well and congratulations to my friend and new migopchair laura cox i ",1,1,1
"6611","2019-02-25","meeting for breakfast with our nation s governors then off to vietnam for a very important summit with kim jong un with complete denuclearization north korea will rapidly become an economic powerhouse without it just more of the same chairman kim will make a wise decision ",1,1,1
"6613","2019-02-25","rt ivankatrump this admin is committed to ensuring more americans have the skills needed to secure better jobs in our strong economy i ",1,1,1
"6616","2019-02-25"," our foreign partners recovering american hostages is a priority of my admin and with danny s release we have now secured freedom for american captives since my election victory we will not rest as we continue our work to bring the remaining american hostages back home ",1,1,1
"6617","2019-02-25","it is my honor today to announce that danny burch a united states citizen who has been held hostage in yemen for months has been recovered and reunited with his wife and children i appreciate the support of the united arab emirates in bringing danny home ",1,1,1
"6618","2019-02-25","rt realdonaldtrump highly respected senator richard burr head of senate intelligence said after interviewing over witnesses and st ",1,1,1
"6619","2019-02-25","congratulations to djohnsonpga on his th pga tour win not only is dustin a truly great golfer he is a wonderful guy big year ahead for dustin ",1,1,1
"6620","2019-02-25","rt realdonaldtrump so funny to watch people who have failed for years they got nothing telling me how to negotiate with north korea bu ",-1,1,1
"6621","2019-02-25","china trade deal and more in advanced stages relationship between our two countries is very strong i have therefore agreed to delay u s tariff hikes let s see what happens ",1,1,1
"6622","2019-02-25"," danny s recovery reflects the best of what the united states amp its partners can accomplish we work every day to bring americans home we maintain constant and intensive diplomatic intelligence and law enforcement cooperation within the united states government and with ",1,1,1
"6623","2019-02-25","since my election as president the dow jones is up and the nasdaq composite almost great news for your k s as they continue to grow we are bringing back america faster than anyone thought possible ",1,1,1
"6626","2019-02-25","former senator harry reid he got thrown out is working hard to put a good spin on his failed career he led through lies and deception only to be replaced by another beauty cryin chuck schumer some things just never change ",-1,1,-1
"6628","2019-02-26","just arrived in vietnam thank you to all of the people for the great reception in hanoi tremendous crowds and so much love ",1,1,1
"6629","2019-02-26","senate democrats just voted against legislation to prevent the killing of newborn infant children the democrat position on abortion is now so extreme that they don t mind executing babies after birth ",-1,1,-1
"6630","2019-02-26"," this will be remembered as one of the most shocking votes in the history of congress if there is one thing we should all agree on it s protecting the lives of innocent babies ",-1,1,-1
"6638","2019-02-27","vietnam is thriving like few places on earth north korea would be the same and very quickly if it would denuclearize the potential is awesome a great opportunity like almost none other in history for my friend kim jong un we will know fairly soon very interesting ",1,1,1
"6639","2019-02-27","michael cohen was one of many lawyers who represented me unfortunately he had other clients also he was just disbarred by the state supreme court for lying amp fraud he did bad things unrelated to trump he is lying in order to reduce his prison time using crooked s lawyer ",-1,-1,-1
"6641","2019-02-27","i have now spent more time in vietnam than da nang dick blumenthal the third rate senator from connecticut how is connecticut doing his war stories of his heroism in vietnam were a total fraud he was never even there we talked about it today with vietnamese leaders ",-1,-1,-1
"6646","2019-02-28","thank you to our generous hosts in hanoi this week president trong prime minister phuc and the wonderful people of vietnam  t co amqf dfrhp",1,1,1
"6647","2019-03-01","today in alaska it was my great honor to visit with our brave men and women of the united states military at joint base elmendorf richardson we are forever grateful for their service and sacrifice thank you  t co revxkusht",1,1,1
"6648","2019-03-01","congress must demand the transcript of michael cohen s new book given to publishers a short time ago your heads will spin when you see the lies misrepresentations and contradictions against his thursday testimony like a different person he is totally discredited ",-1,-1,-1
"6649","2019-03-01","michael cohen s book manuscript shows that he committed perjury on a scale not seen before he must have forgotten about his book when he testified what does hillary clinton s lawyer lanny davis say about this one is he being paid by crooked hillary using her lawyer ",-1,-1,-1
"6650","2019-03-01","wow just revealed that michael cohen wrote a love letter to trump manuscript for a new book that he was pushing written and submitted long after charlottesville and helsinki his phony reasons for going rogue book is exact opposite of his fake testimony which now is a lie ",-1,-1,1
"6653","2019-03-01","great to be back from vietnam an amazing place we had very substantive negotiations with kim jong un we know what they want and they know what we must have relationship very good let s see what happens ",1,1,1
"6658","2019-03-01"," and the fraudulent and dishonest statements he made on wednesday no way it s time to stop this corrupt and illegally brought witch hunt time to start looking at the other side where real crimes were committed republicans have been abused long enough must end now ",-1,-1,-1
"6659","2019-03-01","i will be interviewed by seanhannity at p m on foxnews enjoy ",1,1,1
"6660","2019-03-01","oh i see now that the year russian collusion case has fallen apart there was no collusion except bye crooked hillary and the democrats they say gee i have an idea let s look at trump s finances and every deal he has ever done let s follow discredited michael cohen ",-1,-1,-1
"6662","2019-03-02","we ve got nasa rocking again great activity and success congrats to spacex and all ",1,1,1
"6663","2019-03-02","the brand new manuscript for a new book by failed lawyer michael cohen shows his testimony was a total lie pundits should only use it ",-1,-1,-1
"6667","2019-03-02","rt realdonaldtrump approval rating in the republican party approval rating overall not bad considering i get the most unfair b ",1,-1,-1
"6668","2019-03-02","rt realdonaldtrump i hope our great republican senators don t get led down the path of weak and ineffective border security without stro ",-1,1,1
"6672","2019-03-02","will be speaking at cpac at this morning record crowd live broadcast enjoy ",1,1,1
"6673","2019-03-02","very proud of perhaps the greatest golf course anywhere in the world also furthers u k relationship  t co xtzzjh iq",1,1,1
"6674","2019-03-03"," president we are winning big the envy of the world but just think what it could be ",1,1,1
"6675","2019-03-03","presidential harassment by crazed democrats at the highest level in the history of our country likewise the most vicious and corrupt mainstream media that any president has ever had to endure yet the most successful first two years for any",-1,1,1
"6678","2019-03-03"," look how they re acting now and how we act when we re in the majority what the democrats are doing is an abuse of power they couldn t find anything they took a fake dossier amp couldn t find any collusion now they have a fake witness in cohen congressman mark green r tn ",-1,-1,-1
"6679","2019-03-03","after more than two years of presidential harassment the only things that have been proven is that democrats and other broke the law the hostile cohen testimony given by a liar to reduce his prison time proved no collusion his just written book manuscript showed what he ",-1,-1,-1
"6680","2019-03-03"," said was a total lie but fake media won t show it i am an innocent man being persecuted by some very bad conflicted amp corrupt people in a witch hunt that is illegal amp should never have been allowed to start and only because i won the election despite this great success ",-1,-1,-1
"6683","2019-03-04","the military drills or war games as i call them were never even discussed in my mtg w kim jong un of nk fake news i made that decision long ago because it costs the u s far too much money to have those games especially since we are not reimbursed for the tremendous cost ",-1,-1,-1
"6684","2019-03-04"," now that the dems are going to try amp switch from collusion to some other reason it makes them continue to look like sore losers who didn t accept the will of the people in the last election they will do anything to get rid of the president arifleischer it will never work ",-1,1,1
"6688","2019-03-04","rt rcale jon stewart listen up everybody the trump justice dept is doing an excellent job administrating the compensation act ",1,1,1
"6689","2019-03-04","to the great people of alabama and surrounding areas please be careful and safe tornadoes and storms were truly violent and more could be coming to the families and friends of the victims and to the injured god bless you all ",1,1,1
"6693","2019-03-04"," there is no collusion all of these investigations are in search of a crime democrats have no evidence to impeach president trump ridiculous devinnunes foxnews",-1,-1,-1
"6694","2019-03-04","rt chatbycc realdonaldtrump president trump made america great again maga now it s up to us to help him keep america great kag t ",1,1,1
"6695","2019-03-04","and also illegally leaking to fake news cnn amp others  t co gaitdhwnib",-1,-1,-1
"6698","2019-03-05","scott gottlieb who has done an absolutely terrific job as commissioner of the fda plans to leave government service sometime next month ",1,-1,1
"6703","2019-03-05"," hiv is cured in nd patient doctors report nytimes such great news for so many tremendous progress being made ",1,1,1
"6704","2019-03-05","just a few moments ago i signed an eo addressing one of our nation s most heartbreaking tragedies veterans suicide to every veteran i want you to know that you have an entire nation of more than million people behind you you will never be forgotten  t co dkxiv ku b",-1,-1,-1
"6706","2019-03-05","now that they realize the only collusion with russia was done by crooked hillary clinton amp the democrats nadler schiff and the dem heads of the committees have gone stone cold crazy letter sent to innocent people to harass them they won t get anything done for our country ",-1,-1,1
"6709","2019-03-05","rt judicialwatch right now our borders are being used as gateways for drug cartels amp violent criminals each day adding to the millions ",-1,-1,-1
"6711","2019-03-05"," amazon like the washington post it s hard to remember that not so long ago america had prestige media outlets but not anymore tuckercarlson the fake news media is the true enemy of the people ",-1,-1,-1
"6712","2019-03-05","representative ilhan omar is again under fire for her terrible comments concerning israel jewish groups have just sent a petition to speaker pelosi asking her to remove omar from foreign relations committee a dark day for israel ",-1,-1,-1
"6716","2019-03-06","rt ingrahamangle tune in tonight for blockbuster analysis of the dems colossally stupid decision to overreach with overbroad subpoenas ",-1,-1,1
"6717","2019-03-06","rt gopchairwoman while realdonaldtrump was successful in the private sector career politicians enrich themselves by spending decades in ",1,1,1
"6718","2019-03-06","rt uncle jimbo jerrynadler admits on cnn they have no proof of obstruction by realdonaldtrump it s just his personal opinion meet ",-1,-1,-1
"6719","2019-03-06","rt donaldjtrumpjr weird that all of a sudden the fake dossier author paid for by hillary and the dnc etc no longe wants to show up and ",-1,-1,-1
"6720","2019-03-06","congressman chris stewart no one is accusing the president of a crime and yet they the democrats are issuing hundreds of subpoenas this is unprecedented they are desperately trying to find anything they can even a punctuation mistake in a document ",-1,-1,-1
"6724","2019-03-06","wall street journal more migrant families crossing into the u s illegally have been arrested in the first five months of the federal fiscal year than in any prior full year we are doing a great job at the border but this is a national emergency ",-1,1,-1
"6725","2019-03-06","democrats just blocked foxnews from holding a debate good then i think i ll do the same thing with the fake news networks and the radical left democrats in the general election debates ",-1,1,-1
"6726","2019-03-06","senate republicans are not voting on constitutionality or precedent they are voting on desperately needed border security amp the wall our country is being invaded with drugs human traffickers amp criminals of all shapes and sizes that s what this vote is all about stay united ",-1,1,-1
"6730","2019-03-07","we are on track to apprehend more than one million people coming across the southern border this year great job by border patrol and others who are working in a broken system can be fixed by congress so easily and quickly if only the democrats would get on board ",-1,1,1
"6733","2019-03-08","on international women s day we honor women worldwide for their vital role in shaping and strengthening our communities families governments and businesses  t co vvnkubpmha",1,1,1
"6737","2019-03-08"," this is as good a time as i can remember to be an american worker we have the strongest economy in the world stuart varney foxandfriends so true ",1,1,1
"6738","2019-03-08","rt tomfitton new cohen testimony is abuse of realdonaldtrump deep state abuse and leaks targets trump family wh on security clearances ",-1,-1,-1
"6739","2019-03-08","rt ivankatrump happy international women s day iwd wgdp usaid whitehouse  t co dox vgeczd",1,1,1
"6741","2019-03-08","rt paulsperry breaking democratic rep jerry joe mccarthy nadler who just yesterday declared that trump obstructed justice just now ",-1,1,1
"6742","2019-03-08","the wall is being built and is well under construction big impact will be made many additional contracts are close to being signed far ahead of schedule despite all of the democrat obstruction and fake news ",-1,-1,-1
"6744","2019-03-08","both the judge and the lawyer in the paul manafort case stated loudly and for the world to hear that there was no collusion with russia but the witch hunt hoax continues as you now add these statements to house amp senate intelligence amp senator burr so bad for our country ",-1,-1,-1
"6747","2019-03-08","rt ivankatrump thank you for your exemplary service to our nation secretary wilson  t co syglgmot x",1,1,1
"6748","2019-03-08","rt paulsperry now that even some msm acknowledging there never was a collusion scandal when will msm start investigating the real sca ",-1,-1,-1
"6749","2019-03-08","rt msnbc president trump and first lady melania trump view memorial crosses for the people killed in the alabama tornadoes  t ",1,1,-1
"6750","2019-03-08"," as secretary of the air force and i know she will be equally great in the very important world of higher education a strong thank you to heather for her service ",1,1,1
"6754","2019-03-08","bad lawyer and fraudster michael cohen said under sworn testimony that he never asked for a pardon his lawyers totally contradicted him he lied additionally he directly asked me for a pardon i said no he lied again he also badly wanted to work at the white house he lied ",-1,-1,-1
"6757","2019-03-08"," repmiketurner the only time that michael cohen told the truth is when he pled that he is guilty also when he said no collusion and i did not tell him to lie ",-1,-1,-1
"6759","2019-03-08","congratulations to heather wilson who is the sole finalist to become the next president of university of texas at el paso effective september heather has done an absolutely fantastic job ",1,1,1
"6762","2019-03-08","rt paulsperry glenn simpson amp christopher steele r of biggest villains in russia collusion hoax yet neither has faced serious scrutin ",-1,-1,-1
"6763","2019-03-08","rt flotus happy internationalwomensday  t co mtecsanueo",1,1,1
"6764","2019-03-08","rt loudobbs americafirst marc lotter democrats couldn t condemn anti semitism that s because the radical left wing socialists have ",-1,-1,-1
"6773","2019-03-09","wacky nut job anncoulter who still hasn t figured out that despite all odds and an entire democrat party of far left radicals against me not to mention certain republicans who are sadly unwilling to fight i am winning on the border major sections of wall are being built ",-1,1,1
"6775","2019-03-09","rt timrunshismouth democrats so far in won t condemn anti semitism in the house of reps do nothing against a racist governor w ",-1,-1,-1
"6783","2019-03-10","rt whitehouse public optimism in their personal economy has hit a year high under president trump the job market doesn t get much ",1,1,1
"6784","2019-03-10","rt mike pence great to be in kentucky i m proud to stand with mattbevin who is working tirelessly for the great people of the bluegrass ",1,1,1
"6786","2019-03-10","rt tomfitton the real collusion scandal why haven t hillary clinton and her lawyers been questioned about their collusion with fusion ",-1,1,-1
"6788","2019-03-10"," donald trump s approval rating is at or near his highest level ever the media is not being honest about what is happening in this country jesse watters",1,1,1
"6792","2019-03-11","rt chuckrossdc new dark money group gave million democracy integrity project the org that hired fusion gps and chris steele to bolst ",-1,1,1
"6795","2019-03-11","at a recent round table meeting of business executives amp long after formally introducing tim cook of apple i quickly referred to tim apple as tim apple as an easy way to save time amp words the fake news was disparagingly all over this amp it became yet another bad trump story ",-1,-1,-1
"6796","2019-03-11","rt usambisrael with lindseygrahamsc today touring a gaza terror tunnel cost of tunnel cost of new schools cost of new homes ",-1,-1,-1
"6804","2019-03-12","airplanes are becoming far too complex to fly pilots are no longer needed but rather computer scientists from mit i see it all the time in many products always seeking to go one unnecessary step further when often old and simpler is far better split second decisions are ",-1,-1,1
"6813","2019-03-13","rt lindasuhler dear godthank you for answering our prayers a grateful nation godblessamerica presidenttrump electionday  ",1,1,1
"6814","2019-03-13","all part of the witch hunt hoax started by little eric schneiderman amp cuomo so many leaving new york  t co hccnfzxfn",-1,-1,-1
"6815","2019-03-13","so many records being set with respect to our economy unemployment numbers among best ever a beautiful thing to watch ",1,1,1
"6817","2019-03-13","republican senators are overthinking tomorrow s vote on national emergency it is very simply border security no crime should not be thought of any other way we have a major national emergency at our border and the people of our country know it very well ",-1,-1,-1
"6819","2019-03-13","rt ivankatrump america s economy is stronger than ever amp women in the workforce are thriving female unemployment reached its low ",1,1,1
"6820","2019-03-13","all part of the witch hunt hoax started by little eric schneiderman amp coumo so many leaving new york  t co hccnfzxfn",-1,-1,-1
"6822","2019-03-13"," double standard former fbi lawyer lisa page admits being told to go easy on clinton very unfair foxnews",1,-1,-1
"6825","2019-03-13","rt donaldjtrumpjr well done stevedaines as we spoke about on the campaign trail and in hunting camp publiclands is a big issue for us ",-1,-1,1
"6827","2019-03-13","i greatly appreciate nancy pelosi s statement against impeachment but everyone must remember the minor fact that i never did anything wrong the economy and unemployment are the best ever military and vets are great and many other successes how do you impeach ",-1,-1,1
"6828","2019-03-13","comey testified under oath that it was a unanimous decision on crooked hillary lisa page transcripts show he lied jasoninthehouse",-1,1,-1
"6829","2019-03-13","the fake news photoshopped pictures of melania then propelled conspiracy theories that it s actually not her by my side in alabama and other places they are only getting more deranged with time ",-1,-1,-1
"6830","2019-03-13"," the lisa page fbi transcript also confirms earlier reporting that page testified russian collusion was still unproven when special counsel robert mueller was appointed catherine herridge foxnews in other words they appointed someone when there was and is no crime bad ",-1,-1,-1
"6832","2019-03-13","defying voters the governor of california will halt all death penalty executions of stone cold killers friends and families of the always forgotten victims are not thrilled and neither am i ",-1,-1,-1
"6834","2019-03-13"," jay leno points out that comedy on the very boring late night shows is totally one sided it s tough when there s only one topic foxandfriends actually the one sided hatred on these shows is incredible and for me unwatchable but remember we are number one president ",-1,-1,-1
"6844","2019-03-13","i agree with rand paul this is a total disgrace and should never happen to another president  t co czcubee x ",-1,1,-1
"6845","2019-03-14","a big national emergency vote today by the united states senate on border security amp the wall which is already under major construction i am prepared to veto if necessary the southern border is a national security and humanitarian nightmare but it can be easily fixed ",-1,1,1
"6849","2019-03-14","my administration looks forward to negotiating a large scale trade deal with the united kingdom the potential is unlimited ",1,1,1
"6850","2019-03-14"," democrats are frantic to throw something else at the president that s why you saw those subpoenas it s ridiculous just because your still upset over an election that happened years ago you should not be allowed to ruin people s lives like this lara trump foxnews",-1,-1,-1
"6851","2019-03-14","a vote for today s resolution by republican senators is a vote for nancy pelosi crime and the open border democrats ",-1,-1,-1
"6852","2019-03-14","the three very weak and untalented late night hosts are fighting over table scraps carson did a great job it wasn t political i don t know what they re going to do in when he s no longer president will be wacky in the unemployment line michael loftus foxandfriends",-1,1,-1
"6853","2019-03-14","the democrats are border deniers they refuse to see or acknowledge the death crime drugs and human trafficking at our southern border ",-1,-1,-1
"6854","2019-03-14","happy national ag day  t co hnkoh tqvw",1,1,1
"6856","2019-03-14","prominent legal scholars agree that our actions to address the national emergency at the southern border and to protect the american people are both constitutional and expressly authorized by congress ",1,1,1
"6857","2019-03-14","rt whitehouse january illegal migrants rush the border in new mexico this is a national emergency  t co i tleqkbnx",-1,-1,-1
"6859","2019-03-15"," that we stand in solidarity with new zealand and that any assistance the u s a can give we stand by ready to help we love you new zealand ",1,1,1
"6860","2019-03-15"," should never have been appointed and there should be no mueller report this was an illegal amp conflicted investigation in search of a crime russian collusion was nothing more than an excuse by the democrats for losing an election that they thought they were going to win ",-1,-1,-1
"6862","2019-03-15","the jexodus movement encourages jewish people to leave the democrat party total disrespect republicans are waiting with open arms remember jerusalem u s embassy and the horrible iran nuclear deal oann foxandfriends",-1,-1,-1
"6864","2019-03-15","so if there was knowingly amp acknowledged to be zero crime when the special counsel was appointed and if the appointment was made based on the fake dossier paid for by crooked hillary and now disgraced andrew mccabe he amp all stated no crime then the special counsel ",-1,-1,-1
"6865","2019-03-15","my warmest sympathy and best wishes goes out to the people of new zealand after the horrible massacre in the mosques innocent people have so senselessly died with so many more seriously injured the u s stands by new zealand for anything we can do god bless all ",-1,1,1
"6869","2019-03-15","just spoke with jacinda ardern the prime minister of new zealand regarding the horrific events that have taken place over the past hours i informed the prime minister ",-1,-1,-1
"6871","2019-03-16","because the economy is so good general motors must get their lordstown ohio plant open maybe in a different form or with a new owner fast toyota is investing billion in u s others likewise g m must act quickly time is of the essence ",1,1,1
"6874","2019-03-16","rt realdonaldtrump should never have been appointed and there should be no mueller report this was an illegal amp conflicted investiga ",-1,-1,-1
"6875","2019-03-16","rt realdonaldtrump so if there was knowingly amp acknowledged to be zero crime when the special counsel was appointed and if the appoin ",-1,1,-1
"6877","2019-03-16","how is the paris environmental accord working out for france after weeks of rioting by the yellow vest protesters i guess not so well in the meantime the united states has gone to the top of all lists on the environment ",1,1,1
"6879","2019-03-16","spreading the fake and totally discredited dossier is unfortunately a very dark stain against john mccain ken starr former independent counsel he had far worse stains than this including thumbs down on repeal and replace after years of campaigning to repeal and replace ",-1,-1,-1
"6880","2019-03-16","this is a national emergency  t co aakbunw ro",-1,-1,-1
"6882","2019-03-16","rt whitehouse sheriff louderback the sheriffs and men and women of law enforcement in this room and across this nation owe you a debt o ",-1,-1,-1
"6883","2019-03-16","rt whitehouse attorney general bill barr the crisis that we re dealing with today is right on our door step and it presents a real clea ",-1,1,-1
"6891","2019-03-17","what the democrats have done in trying to steal a presidential election first at the ballot box and then after that failed with the insurance policy is the biggest scandal in the history of our country ",-1,-1,-1
"6892","2019-03-17","those republican senators who voted in favor of strong border security and the wall are being uniformly praised as they return to their states they know there is a national emergency at the southern border and they had the courage to act great job ",1,1,1
"6896","2019-03-17","just spoke to mary barra ceo of general motors about the lordstown ohio plant i am not happy that it is closed when everything else in our country is booming i asked her to sell it or do something quickly she blamed the uaw union i don t care i just want it open ",1,1,1
"6898","2019-03-17","rt jackposobiec why did cnn cut her off after she destroyed their islamophobia hoax  t co zyepqbvqn ",-1,-1,-1
"6900","2019-03-17","rt lindasuhler realdonaldtrump foxnews arthelneville lelandvittert absolutely true president trump when those three show up i turn ",1,1,1
"6902","2019-03-17","rt whitehouse happy st patrick s day  t co gegdysowfb",1,1,1
"6909","2019-03-17","rt chuckcallesto president trump defends judge jeanine after fox censors her show  t co nodg t w i",1,1,-1
"6912","2019-03-17"," to the people that got you there keep fighting for tucker and fight hard for judgejeanine your competitors are jealous they all want what you ve got number one don t hand it to them on a silver platter they can t beat you you can only beat yourselves ",-1,-1,-1
"6916","2019-03-17","happy st patrick s day  t co wmunzjsrr ",1,1,1
"6917","2019-03-17","so it was indeed just proven in court papers last in his class annapolis john mccain that sent the fake dossier to the fbi and media hoping to have it printed before the election he amp the dems working together failed as usual even the fake news refused this garbage ",-1,-1,-1
"6918","2019-03-17","so it was indeed just proven in court papers last in his class annapolis john mccain that sent the fake dossier to the fbi and media hoping to have it printed before the election he amp the dems working together failed as usual even the fake news refused this garbage ",-1,-1,-1
"6919","2019-03-17","report christopher steele backed up his democrat amp crooked hillary paid for fake amp unverified dossier with information he got from send in watchers of low ratings cnn this is the info that got us the witch hunt ",-1,-1,-1
"6922","2019-03-18","my team is staying in close contact with governor kim reynolds iagovernor of iowa and the local officials managing these floods we support you and thank all of the first responders working long hours to help the great people of iowa  t co mz grxq sa",1,1,1
"6927","2019-03-18","the fake news media is working overtime to blame me for the horrible attack in new zealand they will have to work very hard to prove that one so ridiculous ",-1,-1,-1
"6932","2019-03-18","gdp growth during the four quarters of was the fastest since this administration is the first on record to have experienced economic growth that meets or exceeds its own forecasts in each of its first two years in office growth is beating market expectations ",1,1,1
"6935","2019-03-19","rep devin nunes files m defamation lawsuit against twitter two anonymous twitter accounts  t co ft zxdwg z via thedailybeast",-1,-1,-1
"6937","2019-03-19","the fake news media has never been more dishonest or corrupt than it is right now there has never been a time like this in american history very exciting but also very sad fake news is the absolute enemy of the people and our country itself ",-1,-1,-1
"6938","2019-03-19","amazingly cnn just released a poll at saying that the economy is in the best shape since years wow is cnn becoming a believer ",1,1,1
"6939","2019-03-19","facebook google and twitter not to mention the corrupt media are sooo on the side of the radical left democrats but fear not we will win anyway just like we did before maga",-1,-1,1
"6946","2019-03-19"," you can t dispel this mood of positive energy varneyco the economy is great ",1,-1,1
"6947","2019-03-20","great news from ford they are investing nearly billion in flat rock michigan for auto production on top of a billion investment last month in a facility outside of chicago companies are pouring back into the united states they want to be where the action is ",1,1,1
"6953","2019-03-20","really beautiful to see  t co dkq tieiss",1,1,1
"6954","2019-03-20","i am thrilled to be here in ohio with the hardworking men and women of the lima army tank plant we are here today to celebrate a resounding victory for all of you for northwest ohio for our great military and for our entire country  t co zwbjx be m",1,1,1
"6955","2019-03-20","george conway often referred to as mr kellyanne conway by those who know him is very jealous of his wife s success amp angry that i with her help didn t give him the job he so desperately wanted i barely know him but just take a look a stone cold loser amp husband from hell ",-1,-1,-1
"6956","2019-03-20","isis caliphate two years ago in red vs isis caliphate today was even worse in november before i took office  t co mugfex rcj",-1,-1,-1
"6957","2019-03-20","campaigning for the popular vote is much easier amp different than campaigning for the electoral college it s like training for the yard dash vs a marathon the brilliance of the electoral college is that you must go to many states to win with the popular vote you go to ",1,-1,1
"6959","2019-03-21"," the reason we have the special counsel investigation is that james comey a dirty cop leaked his memos to a friend who leaked them to the press on purpose kennedynation totally illegal ",-1,1,-1
"6961","2019-03-21","today we celebrate the lives and achievements of americans with down syndrome vp and i will always stand with these wonderful families and together we will always stand for life worlddownsyndromeday  t co u vrg jncp",1,1,1
"6962","2019-03-21"," john solomon as russia collusion fades ukrainian plot to help clinton emerges seanhannity foxnews",-1,-1,1
"6963","2019-03-21","we are here today to take historic action to defend american students and american values in a few moments i will be signing an executive order to protect free speech on college campuses  t co gffnsl bef",1,1,1
"6965","2019-03-22","it is my pleasure to announce that stephenmoore a very respected economist will be nominated to serve on the fed board i have known steve for a long time and have no doubt he will be an outstanding choice ",1,-1,1
"6966","2019-03-22","rt donaldjtrumpjr super excited today that realdonaldtrump is signing an executive order today to protect free speech rights for all stu ",1,1,1
"6967","2019-03-22","rt whitehouse the american dream is back because president trump understands what many experts don t that restoring american greatness i ",1,1,1
"6968","2019-03-22","rt whitehouse president realdonaldtrump s historic investments in our defense industrial base keep two of his biggest promises to voters ",1,1,1
"6975","2019-03-22","isis uses the internet better than almost anyone but for all of those susceptible to isis propaganda they are now being beaten badly at every level ",-1,-1,-1
"6979","2019-03-24","no collusion no obstruction complete and total exoneration keep america great ",-1,-1,1
"6982","2019-03-25","rt realdonaldtrump no collusion no obstruction complete and total exoneration keep america great ",-1,-1,1
"6985","2019-03-25","today it was my great honor to welcome prime minister netanyahu of israel back to the whitehouse where i signed a presidential proclamation recognizing israel s sovereignty over the golan heights read more  t co yaayr hxe  t co gwp nwrwsy",1,1,1
"6987","2019-03-25"," no matter your ideologies or your loyalties this is a good day for america no american conspired to cooperate with russia in its efforts to interfere with the election according to robert mueller and that is good bretbaier foxnews",-1,1,1
"6993","2019-03-26"," what we re seeing on capitol hill right now is that the democrats are walking back any charges of collusion against the president byronyork billhemmer should never have been started a disgrace ",-1,-1,-1
"6994","2019-03-26"," a catastrophic media failure  t co dkho khwwf",-1,-1,-1
"6996","2019-03-26","rt bmcnally the caps won a stanley cup so they get to spend the next hour here touring and meeting the president in a private event h ",1,1,1
"6998","2019-03-26","rt tomfitton tom fitton on realdonaldtrump russia mueller probe they ve known there was no collusion and by the way devinnunes is ",-1,-1,-1
"7000","2019-03-26"," what we re seeing on capital hill right now is that the democrats are walking back any charges of collusion against the president byronyork billhemmer should never have been started a disgrace ",-1,-1,-1
"7002","2019-03-26","the mainstream media is under fire and being scorned all over the world as being corrupt and fake for two years they pushed the russian collusion delusion when they always knew there was no collusion they truly are the enemy of the people and the real opposition party ",-1,-1,-1
"7003","2019-03-26","wsj obama admin must account for abuse of surveillance powers  t co mie vofzae via breitbartnews",-1,-1,-1
